round,accuracy,loss,bytes_received,bytes_sent,timestamp
322,-1,-1,220,220,2026-01-04 16:37:37.400974
323,-1,-1,220,220,2026-01-04 16:37:37.426575
324,-1,-1,220,220,2026-01-04 16:37:37.450221
325,-1,-1,220,220,2026-01-04 16:37:37.493410
326,-1,-1,220,220,2026-01-04 16:37:37.536931
327,-1,-1,220,220,2026-01-04 16:37:37.573036
328,-1,-1,220,220,2026-01-04 16:37:37.607659
329,-1,-1,220,220,2026-01-04 16:37:37.649298
330,-1,-1,220,220,2026-01-04 16:37:37.677475
331,-1,-1,220,220,2026-01-04 16:37:37.699599
332,-1,-1,220,220,2026-01-04 16:37:37.726118
333,-1,-1,220,220,2026-01-04 16:37:37.769311
334,-1,-1,220,220,2026-01-04 16:37:37.795461
335,-1,-1,220,220,2026-01-04 16:37:37.844901
336,-1,-1,220,220,2026-01-04 16:37:37.877654
337,-1,-1,220,220,2026-01-04 16:37:37.915030
338,-1,-1,220,220,2026-01-04 16:37:37.945819
339,-1,-1,220,220,2026-01-04 16:37:37.979838
340,-1,-1,220,220,2026-01-04 16:37:38.025602
341,-1,-1,220,220,2026-01-04 16:37:38.059303
342,-1,-1,220,220,2026-01-04 16:37:38.088215
343,-1,-1,220,220,2026-01-04 16:37:38.124776
344,-1,-1,220,220,2026-01-04 16:37:38.157553
345,-1,-1,220,220,2026-01-04 16:37:38.189064
346,-1,-1,220,220,2026-01-04 16:37:38.208765
347,-1,-1,220,220,2026-01-04 16:37:38.236062
348,-1,-1,220,220,2026-01-04 16:37:38.276850
349,-1,-1,220,220,2026-01-04 16:37:38.321466
350,-1,-1,220,220,2026-01-04 16:37:38.365845
351,-1,-1,220,220,2026-01-04 16:37:38.389691
352,-1,-1,220,220,2026-01-04 16:37:38.418896
353,-1,-1,220,220,2026-01-04 16:37:38.445223
354,-1,-1,220,220,2026-01-04 16:37:38.466691
355,-1,-1,220,220,2026-01-04 16:37:38.501433
356,-1,-1,220,220,2026-01-04 16:37:38.523178
357,-1,-1,220,220,2026-01-04 16:37:38.549094
358,-1,-1,220,220,2026-01-04 16:37:38.578175
359,-1,-1,220,220,2026-01-04 16:37:38.598357
360,-1,-1,220,220,2026-01-04 16:37:38.627634
361,-1,-1,220,220,2026-01-04 16:37:38.660392
362,-1,-1,220,220,2026-01-04 16:37:38.687181
363,-1,-1,220,220,2026-01-04 16:37:38.712448
364,-1,-1,220,220,2026-01-04 16:37:38.736832
365,-1,-1,220,220,2026-01-04 16:37:38.760616
366,-1,-1,220,220,2026-01-04 16:37:38.793172
367,-1,-1,220,220,2026-01-04 16:37:38.820183
368,-1,-1,220,220,2026-01-04 16:37:38.840996
369,-1,-1,220,220,2026-01-04 16:37:38.857419
370,-1,-1,220,220,2026-01-04 16:37:38.892985
371,-1,-1,220,220,2026-01-04 16:37:38.936434
372,-1,-1,220,220,2026-01-04 16:37:38.964063
373,-1,-1,220,220,2026-01-04 16:37:38.991494
374,-1,-1,220,220,2026-01-04 16:37:39.025339
375,-1,-1,220,220,2026-01-04 16:37:39.056951
376,-1,-1,220,220,2026-01-04 16:37:39.091028
377,-1,-1,220,220,2026-01-04 16:37:39.124188
378,-1,-1,220,220,2026-01-04 16:37:39.157772
379,-1,-1,220,220,2026-01-04 16:37:39.192263
380,-1,-1,220,220,2026-01-04 16:37:39.224481
381,-1,-1,220,220,2026-01-04 16:37:39.257583
382,-1,-1,220,220,2026-01-04 16:37:39.280221
383,-1,-1,220,220,2026-01-04 16:37:39.309570
384,-1,-1,220,220,2026-01-04 16:37:39.340518
385,-1,-1,220,220,2026-01-04 16:37:39.358862
386,-1,-1,220,220,2026-01-04 16:37:39.380852
387,-1,-1,220,220,2026-01-04 16:37:39.406549
388,-1,-1,220,220,2026-01-04 16:37:39.446033
389,-1,-1,220,220,2026-01-04 16:37:39.475778
390,-1,-1,220,220,2026-01-04 16:37:39.506856
391,-1,-1,220,220,2026-01-04 16:37:39.541578
392,-1,-1,220,220,2026-01-04 16:37:39.576384
393,-1,-1,220,220,2026-01-04 16:37:39.606591
394,-1,-1,220,220,2026-01-04 16:37:39.644790
395,-1,-1,220,220,2026-01-04 16:37:39.685729
396,-1,-1,220,220,2026-01-04 16:37:39.717029
397,-1,-1,220,220,2026-01-04 16:37:39.739648
398,-1,-1,220,220,2026-01-04 16:37:39.765577
399,-1,-1,220,220,2026-01-04 16:37:39.790887
400,-1,-1,220,220,2026-01-04 16:37:39.824507
401,-1,-1,220,220,2026-01-04 16:37:39.859315
402,-1,-1,220,220,2026-01-04 16:37:39.879676
403,-1,-1,220,220,2026-01-04 16:37:39.905630
404,-1,-1,220,220,2026-01-04 16:37:39.950401
405,-1,-1,220,220,2026-01-04 16:37:39.986332
406,-1,-1,220,220,2026-01-04 16:37:40.013798
407,-1,-1,220,220,2026-01-04 16:37:40.045837
408,-1,-1,220,220,2026-01-04 16:37:40.077832
409,-1,-1,220,220,2026-01-04 16:37:40.108676
410,-1,-1,220,220,2026-01-04 16:37:40.138685
411,-1,-1,220,220,2026-01-04 16:37:40.168286
412,-1,-1,220,220,2026-01-04 16:37:40.190520
413,-1,-1,220,220,2026-01-04 16:37:40.215875
414,-1,-1,220,220,2026-01-04 16:37:40.253626
415,-1,-1,220,220,2026-01-04 16:37:40.281850
416,-1,-1,220,220,2026-01-04 16:37:40.310659
417,-1,-1,220,220,2026-01-04 16:37:40.342832
418,-1,-1,220,220,2026-01-04 16:37:40.370664
419,-1,-1,220,220,2026-01-04 16:37:40.396409
420,-1,-1,220,220,2026-01-04 16:37:40.423588
421,-1,-1,220,220,2026-01-04 16:37:40.458074
422,-1,-1,220,220,2026-01-04 16:37:40.492678
423,-1,-1,220,220,2026-01-04 16:37:40.519418
424,-1,-1,220,220,2026-01-04 16:37:40.535148
425,-1,-1,220,220,2026-01-04 16:37:40.553164
426,-1,-1,220,220,2026-01-04 16:37:40.576206
427,-1,-1,220,220,2026-01-04 16:37:40.600074
428,-1,-1,220,220,2026-01-04 16:37:40.636070
429,-1,-1,220,220,2026-01-04 16:37:40.666848
430,-1,-1,220,220,2026-01-04 16:37:40.698042
431,-1,-1,220,220,2026-01-04 16:37:40.736379
432,-1,-1,220,220,2026-01-04 16:37:40.769719
433,-1,-1,220,220,2026-01-04 16:37:40.803424
434,-1,-1,220,220,2026-01-04 16:37:40.836075
435,-1,-1,220,220,2026-01-04 16:37:40.872180
436,-1,-1,220,220,2026-01-04 16:37:40.905599
437,-1,-1,220,220,2026-01-04 16:37:40.946784
438,-1,-1,220,220,2026-01-04 16:37:40.986553
439,-1,-1,220,220,2026-01-04 16:37:41.017249
440,-1,-1,220,220,2026-01-04 16:37:41.048439
441,-1,-1,220,220,2026-01-04 16:37:41.083423
442,-1,-1,220,220,2026-01-04 16:37:41.108141
443,-1,-1,220,220,2026-01-04 16:37:41.134084
444,-1,-1,220,220,2026-01-04 16:37:41.164290
445,-1,-1,220,220,2026-01-04 16:37:41.187621
446,-1,-1,220,220,2026-01-04 16:37:41.230544
447,-1,-1,220,220,2026-01-04 16:37:41.270148
448,-1,-1,220,220,2026-01-04 16:37:41.292092
449,-1,-1,220,220,2026-01-04 16:37:41.324639
450,-1,-1,220,220,2026-01-04 16:37:41.349242
451,-1,-1,220,220,2026-01-04 16:37:41.373710
452,-1,-1,220,220,2026-01-04 16:37:41.405900
453,-1,-1,220,220,2026-01-04 16:37:41.441848
454,-1,-1,220,220,2026-01-04 16:37:41.483192
455,-1,-1,220,220,2026-01-04 16:37:41.510920
456,-1,-1,220,220,2026-01-04 16:37:41.545604
457,-1,-1,220,220,2026-01-04 16:37:41.578166
458,-1,-1,220,220,2026-01-04 16:37:41.612372
459,-1,-1,220,220,2026-01-04 16:37:41.646257
460,-1,-1,220,220,2026-01-04 16:37:41.680158
461,-1,-1,220,220,2026-01-04 16:37:41.714260
462,-1,-1,220,220,2026-01-04 16:37:41.742591
463,-1,-1,220,220,2026-01-04 16:37:41.773907
464,-1,-1,220,220,2026-01-04 16:37:41.817792
465,-1,-1,220,220,2026-01-04 16:37:41.841196
466,-1,-1,220,220,2026-01-04 16:37:41.870088
467,-1,-1,220,220,2026-01-04 16:37:41.914191
468,-1,-1,220,220,2026-01-04 16:37:41.937713
469,-1,-1,220,220,2026-01-04 16:37:41.971712
470,-1,-1,220,220,2026-01-04 16:37:41.998162
471,-1,-1,220,220,2026-01-04 16:37:42.026177
472,-1,-1,220,220,2026-01-04 16:37:42.070516
473,-1,-1,220,220,2026-01-04 16:37:42.112728
474,-1,-1,220,220,2026-01-04 16:37:42.162636
475,-1,-1,220,220,2026-01-04 16:37:42.192762
476,-1,-1,220,220,2026-01-04 16:37:42.226871
477,-1,-1,220,220,2026-01-04 16:37:42.257694
478,-1,-1,220,220,2026-01-04 16:37:42.285854
479,-1,-1,220,220,2026-01-04 16:37:42.307645
480,-1,-1,220,220,2026-01-04 16:37:42.337814
481,-1,-1,220,220,2026-01-04 16:37:42.361230
482,-1,-1,220,220,2026-01-04 16:37:42.390108
483,-1,-1,220,220,2026-01-04 16:37:42.416575
484,-1,-1,220,220,2026-01-04 16:37:42.449603
485,-1,-1,220,220,2026-01-04 16:37:42.465397
486,-1,-1,220,220,2026-01-04 16:37:42.492842
487,-1,-1,220,220,2026-01-04 16:37:42.523482
488,-1,-1,220,220,2026-01-04 16:37:42.540912
489,-1,-1,220,220,2026-01-04 16:37:42.571995
490,-1,-1,220,220,2026-01-04 16:37:42.605338
491,-1,-1,220,220,2026-01-04 16:37:42.627950
492,-1,-1,220,220,2026-01-04 16:37:42.648853
493,-1,-1,220,220,2026-01-04 16:37:42.666072
494,-1,-1,220,220,2026-01-04 16:37:42.690527
